user_id,n_val,mle_top1,map_top1
AE22CFXT3QZKUQJORVTGL3VQXAAA,1,1,1
AE22ERTBQUVIDJFCHGZOIHSMDOXQ,1,1,0
AE24AB4DW5KYK3F5DYOT5VPW2VLA,5,1,1
AE24AP4G6YYZYCHGRN4DBSG3M3NQ,2,0,0
AE24TTIFLSQ4AZECA4QEWH6XJ6GA,1,0,0
AE24VPMWEEQD62YPOG53BW7JCGFA,36,1,1
AE25XAQJU3TK7IUMWPS3SPMYS52Q,1,0,1
AE2AADQWO635OECIQOBTTCWPDDRA,1,0,0
AE2AIAX4J4QHRWHSQBXISK4EPILA,3,1,1
AE2BOF5GOOKSTHXH2T3ZK72PSPAQ,2,0,0
AE2FQQXVDPDS7CYYO4DTBTOTNSCQ,1,0,0
AE2JOPSNP24VNGGTKSXSAW7RRFGA,3,1,1
AE2JWTLJPLJVH273AMNCPJVDR4FQ,1,0,0
AE2MTX7DFREKGZ6BQVTAQ6NN5VUA,1,0,0
AE2NBWIRSOZSJQ3YOG4FI67XJYJA,5,0,0
AE2NFMTZ74ACGAWI5CMVOXZGLUUQ,2,0,1
AE2NG26LVDNRQHP4XYNEMEUXN4DA,1,1,1
AE2NMSJGXGSMVMX7URBYXKLPY4YA,1,1,1
AE2O6SYD7T2GZPWFOA2OPC7XW3HQ,1,1,1
AE2ODQD5CBSZKNZLJCDKZFYKOTEQ,1,0,0
AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,1,0,0
AE2OROX4U7OBHEAUVAIQQRZZLUNA,1,1,0
AE2PNWV3FV6OXIHIS2DNAW3T42VQ,1,0,0
AE2QEJLSIO4BQRV5AKFI3NTQZINA,1,0,0
AE2SLLQC24HDEHVUWKWDT2G7B23A,1,0,0
AE2SMJ56NPO6NGF2II6UYWFG4WSQ,2,1,1
AE2TDBYJ3DY46OLQRKDDPLKSVNOA,7,1,1
AE2TJA2G5BONAVBZIK4EGLA6U47A,2,0,0
AE2U2E5TSZMH4DT4N2VUAATGX3QQ,3,1,1
AE2UYOEX4MUQDHYUVYWNF2PB4E6Q,1,0,0
AE2WG4JSNRRV5DLUDTKICDBTMOZQ,8,0,0
AE2WIJHQKMARIEYUZD5CAGPPMSIA,1,1,1
AE2WMFLNQAV4U5O5XL7AU7LYSL3Q,3,1,1
AE2WZDAXLJOL6G2KDSPENTTEYW4A,1,0,0
AE2X4FB5LH6VAPWE6BKXVQQ4PJJQ,2,0,0
AE2X6OQXH7QRE3X2EEK2R4B2HIIQ,2,1,1
AE2XVPM4WWW5YQPPM4Y22INVWJIQ,2,0,0
AE2ZRKW6BXIESXEWBBFESBEG4OEA,10,0,0
AE322YSLI4IC427KMKSPEME6NXCA,1,0,0
AE36OLXLPNJFLSVJAX2EEHM7JKLA,1,0,0
AE36XBGJZHTNLQCGYNBPVLC45FEA,1,1,1
AE3CPXBFKCQWOQJS67TH5TNNSUOA,5,0,0
AE3CZBLMKLWS42NSJ4AASGYZ35YQ,4,0,0
AE3D5WWVPFIDOUTJLC325IGLURAA,3,0,0
AE3DDTPKSMKWX6GHZU6RWXXSOJRA,2,0,0
AE3EBQ276GL65HG6OUFL72X45SCQ,2,0,0
AE3ECZNWLNWX2ZATYHHS4DZ6GARQ,1,1,1
AE3EZ6L4R27JL7Y54EU3TUWQXQ5A,5,0,1
AE3GMI2DWS5SSMVZYIRBMW5QJ22Q,2,0,0
AE3GT6PV27TKE4CMKYJXYSDMGZAQ,4,1,1
AE3GTDXM2ER5ZKPZ62JSPBNIP5BQ,1,0,1
AE3GZMIMJ2SC7INRODSA444OUZ7Q,4,0,1
AE3IVZU4PZBIWWKFEEQMIR6DSVVA,2,0,1
